from,to,bidirectional,distance,cost,type
1,2,TRUE,0,0,path
2,20,TRUE,0,0,path
2,4,TRUE,0,0,path
4,3,TRUE,0,0,path
3,29,TRUE,0,0,path
30,21,TRUE,0,0,path
21,31,TRUE,0,0,path
31,8,TRUE,0,0,path
8,6,TRUE,0,0,path
6,4,TRUE,0,0,path
4,17,TRUE,0,0,path
17,18,TRUE,0,0,path
18,5,TRUE,0,0,path
6,7,TRUE,0,0,path
7,16,TRUE,0,0,path
16,5,TRUE,0,0,path
7,9,TRUE,0,0,path
9,8,TRUE,0,0,path
9,32,TRUE,0,0,path
32,11,TRUE,0,0,path
11,10,TRUE,0,0,path
10,15,TRUE,0,0,path
15,5,TRUE,0,0,path
5,28,TRUE,0,0,path
28,25,TRUE,0,0,path
25,24,TRUE,0,0,path
25,26,TRUE,0,0,path
25,23,TRUE,0,0,path
23,12,TRUE,0,0,path
12,13,TRUE,0,0,path
10,12,TRUE,0,0,path
13,27,TRUE,0,0,path
13,22,TRUE,0,0,path
13,14,TRUE,0,0,path
14,22,TRUE,0,0,path
22,19,TRUE,0,0,path
