id,name,type,floor_id,x,y,node_ids,category,products,description,hours,status
FAV-001,ロフト,shop,1F,26.56,24.8,3,雑貨,文具|生活雑貨|ギフト,日用品からギフトまで幅広く探せる大型雑貨店,10:00-21:00,published
FAV-002,無印良品,shop,1F,29.55,38.75,17|18,ライフスタイル,衣料品|生活雑貨|食品,衣料品・生活雑貨・食品まで揃う総合ライフスタイルショップ,10:00-21:00,published
FAV-003,BOOKSなかだ,shop,1F,73.96,67.46,14,書店,書籍|雑誌|児童書,家族で使いやすい大型書店,9:30-22:00,published
FAV-004,エルサカエ ファボーレ店,shop,1F,37.05,33.89,17,ファッション,ジュエリー|時計|アクセサリー,ジュエリーや時計を扱うファッションショップ,10:00-21:00,published
FAV-005,ウニコ ルーム,shop,1F,47.65,34.14,6,ライフ,家具|インテリア|生活雑貨,家具やインテリア雑貨を扱うライフスタイルショップ,10:00-21:00,published
FAV-006,LOG CABIN,shop,1F,47.55,38.75,7,グッズ,雑貨|ギフト|生活雑貨,日常使いの雑貨やギフトを探せるショップ,10:00-21:00,published
FAV-007,ワンズテラス,shop,1F,43.35,39.08,18,グッズ,生活雑貨|キッチン雑貨|ギフト,暮らしを彩る生活雑貨を扱うショップ,10:00-21:00,published
FAV-008,織部,shop,1F,52.86,41.19,7,グッズ,食器|和雑貨|生活雑貨,食器や和雑貨を中心に扱うショップ,10:00-21:00,published
FAV-009,ニコアンド,shop,1F,56.75,43.28,32|9,ファッション,レディス|メンズ|生活雑貨,ファッションと生活雑貨を扱うライフスタイルショップ,10:00-21:00,published
FAV-010,グリーンパークスフーワ,shop,1F,58.65,48.55,32,ファッション,レディス|アパレル|服飾雑貨,レディスファッションを中心に扱うショップ,10:00-21:00,published
FAV-011,Kコスメ・ボーテ,shop,1F,56.16,51.07,10|11,グッズ,コスメ|美容雑貨|スキンケア,コスメや美容雑貨を扱うショップ,10:00-21:00,published
FAV-012,スペラモード,shop,1F,51.96,47.78,15,ファッション,レディス|アパレル|服飾雑貨,レディスファッションを扱うショップ,10:00-21:00,published
FAV-013,スターバックス コーヒー,shop,1F,50.66,43.82,5|15|16,レストラン＆カフェ,コーヒー|カフェ|ドリンク,コーヒーやドリンクを楽しめるカフェ,10:00-21:00,published
ENT-WEST,本館西入口,entrance,1F,6.86,31.05,1,入口,,本館西側の出入口,,published
TOILET-1F-EAST,トイレ,toilet,1F,80,70,21,設備,,東側通路付近のトイレ,,published
ES-UP-1F-A,上りエスカレータ,es_up,1F,27.65,31.83,7,設備,,2F方面への上りエスカレータ,,published
ES-DOWN-1F-A,下りエスカレータ,es_down,1F,28.75,32.98,8,設備,,2Fからの下りエスカレータ,,published
ENT-015,食品館出入口,entrance,1F,60.56,13.1,30,入口,,食品館出入口,,published
ENT-016,新館西出入口,entrance,1F,6.66,61.07,24,入口,,新館西出入口,,published
ENT-017,新館南出入口,entrance,1F,30.16,75.45,26,入口,,新館南出入口,,published
ENT-018,本館北出入口,entrance,1F,30.96,13.76,29,入口,,,,published
FAV-019,喫煙所,facility,1F,78.16,57.49,19,喫煙所,,,,published
ENT-020,本館南出入口,entrance,1F,60.46,75.43,27,,,,,published
