id,floor_id,x,y,type,name
1,1F,6.7,31.27,path,本館西出入口
2,1F,21.6,31.11,path,西ファシリティ前
3,1F,30.6,25.59,path,ロフト前
4,1F,30.6,31.27,path,本館西通路分岐
5,1F,44.75,44.68,path,中央分岐
6,1F,50.95,31.31,path,太陽の広場北
7,1F,50.55,39.98,path,太陽の広場南
8,1F,60.95,31.25,path,太陽の広場北東
9,1F,60.75,39.98,path,太陽の広場南東
10,1F,57.25,54.23,path,ときめきの広場北西
11,1F,60.75,54.23,path,ときめきの広場北西
12,1F,57.15,61.65,path,ときめきの広場南西
13,1F,60.85,61.73,path,ときめきの広場南東
14,1F,75.35,64.68,path,BOOKSなかだ前
15,1F,47.95,46.82,path,スターバックス前南
16,1F,48.24,41.85,path,スターバックス前北
17,1F,34.75,35.87,path,エルサカエ前
18,1F,40.23,40.32,path,One'sTerrace前
19,1F,78.26,57.71,path,喫煙所
20,1F,19.04,24.78,path,トイレ北西
21,1F,60.64,17.15,path,トイレ東
22,1F,75.14,59.57,path,トイレ南
23,1F,47.44,60.81,path,トイレ中央
24,1F,6.44,61.63,path,新館西出入口
25,1F,30.74,61.55,path,光の広場
26,1F,30.16,76.99,path,新館南出入口
27,1F,60.56,76.66,path,本館南出入口
28,1F,30.56,55.85,path,H&M前
29,1F,30.74,11.63,path,北出入口
30,1F,60.74,11.39,path,食品館出入口
31,1F,61.04,26.54,path,食品館前
32,1F,60.74,46.39,path,カルディコーヒー前
